"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","12.3","52.4","0.3","4.1","29.3","0.1","0.1","16.7"
"","low","12.3","52.4","0.3","4.1","29.3","0.1","0.1","16.7"
"Adam Prentice","DEN","4.1","17.4","0.1","4.1","29.9","0.2","0.0","10.5"
"","high","4.1","17.4","0.1","4.1","29.9","0.2","0.0","10.5"
"","low","4.1","17.4","0.1","4.1","29.9","0.2","0.0","10.5"
"Connor Heyward","LV","4.2","17.4","0.1","4.0","29.0","0.2","0.0","10.2"
"","high","4.2","17.4","0.1","4.0","29.0","0.2","0.0","10.3"
"","low","4.2","17.4","0.1","4.0","29.0","0.2","0.0","10.3"
"Max Bredeson","MIN","2.0","8.5","0.1","4.5","29.4","0.2","0.0","9.6"
"","high","2.0","8.5","0.1","4.5","29.4","0.2","0.0","9.6"
"","low","2.0","8.5","0.1","4.5","29.4","0.2","0.0","9.6"
"Riley Nowakowski","PIT","0.0","0.0","0.0","4.3","29.2","0.2","0.0","8.1"
"","high","0.0","0.0","0.0","4.3","29.2","0.2","0.0","8.1"
"","low","0.0","0.0","0.0","4.3","29.2","0.2","0.0","8.1"
