"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Darnell Mooney","NYG","21.4","308.6","1.7","2.2","11.9","0.1","0.2","63.6"
"","high","21.4","308.6","1.7","2.2","11.9","0.1","0.2","63.7"
"","low","21.4","308.6","1.7","2.2","11.9","0.1","0.2","63.7"
"KaVontae Turpin","DAL","18.1","229.5","1.7","17.8","103.2","0.4","0.4","63.5"
"","high","18.1","229.5","1.7","17.8","103.2","0.4","0.4","66.8"
"","low","18.1","229.5","1.7","17.8","103.2","0.4","0.4","66.8"
"DeMario Douglas","NE","22.7","270.9","1.5","4.1","21.4","0.2","0.3","61.3"
"","high","22.7","270.9","1.5","4.1","21.4","0.2","0.3","61.5"
"","low","22.7","270.9","1.5","4.1","21.4","0.2","0.3","61.5"
"Savion Williams","GB","20.5","230.9","1.7","9.0","46.9","0.3","0.3","59.8"
"","high","20.5","230.9","1.7","9.0","46.9","0.3","0.3","60.6"
"","low","20.5","230.9","1.7","9.0","46.9","0.3","0.3","60.6"
